,summary,config,name
20,"{'_step': 303, '_wandb': {'runtime': 212}, 'avg_err': 0.3063, 'std_err': 0.0147, '_timestamp': 1661082716.4901998, 'final_test_err': 0.29200000000000004, 'epoch': 100, 'run_num': 2, '_runtime': 213.27335786819455, 'train_acc': 0.9625, 'train_loss': 0.1784}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [4], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1omvdoze
21,"{'train_loss': 0.2666, 'epoch': 100, '_wandb': {'runtime': 157}, 'run_num': 2, 'std_err': 0.0285, '_runtime': 158.92022109031677, '_timestamp': 1661082656.537673, '_step': 303, 'avg_err': 0.3157, 'train_acc': 0.94, 'final_test_err': 0.28400000000000003}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [4], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2pjzm29o
22,"{'epoch': 100, 'avg_err': 0.337, 'run_num': 2, '_runtime': 153.81887888908386, 'final_test_err': 0.31999999999999995, '_step': 303, '_wandb': {'runtime': 152}, 'std_err': 0.0163, 'train_acc': 0.83, '_timestamp': 1661082648.877287, 'train_loss': 0.4156}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [4], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",268l6909
23,"{'_runtime': 140.2880027294159, 'train_acc': 0.77, '_wandb': {'runtime': 139}, 'avg_err': 0.2975, 'run_num': 2, 'std_err': 0.0198, 'final_test_err': 0.2905, '_step': 303, 'epoch': 100, '_timestamp': 1661082621.6993618, 'train_loss': 0.5493}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [4], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",39b3zymn
24,"{'run_num': 2, 'std_err': 0.0031, '_runtime': 206.99701142311096, 'train_acc': 0.9925, '_timestamp': 1661082659.5508573, 'final_test_err': 0.15700000000000003, '_step': 303, 'epoch': 100, '_wandb': {'runtime': 206}, 'avg_err': 0.1613, 'train_loss': 0.1018}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [3], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1eq5xy3s
25,"{'_wandb': {'runtime': 157}, '_runtime': 158.4265010356903, 'train_acc': 0.9767, 'train_loss': 0.1708, '_step': 303, 'avg_err': 0.1972, 'run_num': 2, 'std_err': 0.0136, '_timestamp': 1661082606.898402, 'final_test_err': 0.17800000000000005, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [3], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3f9ci746
26,"{'_wandb': {'runtime': 142}, 'avg_err': 0.2513, '_runtime': 143.36103510856628, 'train_acc': 0.94, 'train_loss': 0.2773, 'final_test_err': 0.226, '_step': 303, 'epoch': 100, 'run_num': 2, 'std_err': 0.0262, '_timestamp': 1661082579.7601032}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [3], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2lnvhiwf
27,"{'avg_err': 0.2975, 'run_num': 2, 'train_loss': 0.5493, 'final_test_err': 0.2905, '_step': 303, 'epoch': 100, '_runtime': 136.3371925354004, 'train_acc': 0.77, '_timestamp': 1661082563.5897985, '_wandb': {'runtime': 135}, 'std_err': 0.0198}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [3], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",hm6odczt
28,"{'_step': 303, '_wandb': {'runtime': 208}, 'avg_err': 0.3092, 'train_acc': 0.875, 'epoch': 100, 'run_num': 2, 'std_err': 0.0045, '_runtime': 209.43040680885315, '_timestamp': 1661082616.6392918, 'train_loss': 0.337, 'final_test_err': 0.3155}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [2], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2pg5x61q
29,"{'_wandb': {'runtime': 154}, '_runtime': 155.91590094566345, 'train_loss': 0.4243, 'std_err': 0.0207, 'train_acc': 0.8233, '_timestamp': 1661082545.596117, 'final_test_err': 0.3075, '_step': 303, 'epoch': 100, 'avg_err': 0.3047, 'run_num': 2}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [2], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3c6kn2rk
30,"{'final_test_err': 0.2815, '_step': 303, '_wandb': {'runtime': 151}, 'avg_err': 0.2928, 'run_num': 2, 'std_err': 0.0297, '_timestamp': 1661082540.889701, 'epoch': 100, '_runtime': 152.79559087753296, 'train_acc': 0.76, 'train_loss': 0.4823}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [2], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",36n807nw
31,"{'_wandb': {'runtime': 141}, 'avg_err': 0.2975, 'run_num': 2, '_runtime': 142.88384294509888, 'train_acc': 0.77, '_timestamp': 1661082490.238683, '_step': 303, 'std_err': 0.0198, 'train_loss': 0.5493, 'final_test_err': 0.2905, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [2], 'beta': 'unbiased', 'target': 3, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",160enuwh
