,m,r,1,2,3,5
89,30.0,9.0,0.16749999999999998,0.17300000000000004,0.17049999999999998,0.1855
90,40.0,0.0,0.14749999999999996,0.20450000000000002,0.13549999999999995,0.18200000000000005
91,40.0,1.0,0.124,0.16349999999999998,0.13,0.18400000000000005
92,40.0,2.0,0.15449999999999997,0.19799999999999995,0.16149999999999998,0.16649999999999998
93,40.0,3.0,0.13249999999999995,0.17000000000000004,0.14649999999999996,0.20550000000000002
94,40.0,4.0,0.16800000000000004,0.16849999999999998,0.15549999999999997,0.19499999999999995
95,40.0,5.0,0.14649999999999996,0.17700000000000005,0.12649999999999995,0.18700000000000006
96,40.0,6.0,0.20999999999999996,0.1955,0.14100000000000001,0.1915
97,40.0,7.0,0.17100000000000004,0.19999999999999996,0.13049999999999995,0.18300000000000005
98,40.0,8.0,0.14900000000000002,0.14500000000000002,0.11050000000000004,0.17300000000000004
99,40.0,9.0,0.13749999999999996,0.14700000000000002,0.14449999999999996,0.21150000000000002
