,m,r,1,alpha,3,4
60,10.0,0.0,0.35850000000000004,0.8999999999999999,0.3205,0.4415
61,10.0,1.0,0.34099999999999997,0.8999999999999999,0.349,0.43200000000000005
62,10.0,2.0,0.365,0.8999999999999999,0.32599999999999996,0.4365
63,10.0,3.0,0.35350000000000004,0.8999999999999999,0.3435,0.42700000000000005
64,10.0,4.0,0.36050000000000004,0.8999999999999999,0.33199999999999996,0.43600000000000005
65,10.0,5.0,0.35150000000000003,0.8999999999999999,0.33099999999999996,0.41600000000000004
66,10.0,6.0,0.35650000000000004,0.8999999999999999,0.345,0.43700000000000006
67,10.0,7.0,0.35550000000000004,0.8999999999999999,0.35250000000000004,0.44299999999999995
68,10.0,8.0,0.37749999999999995,0.8999999999999999,0.347,0.4275
69,10.0,9.0,0.369,0.8999999999999999,0.33699999999999997,0.42200000000000004
70,20.0,0.0,0.37350000000000005,0.7999999999999999,0.356,0.45499999999999996
71,20.0,1.0,0.37849999999999995,0.7999999999999999,0.372,0.46299999999999997
72,20.0,2.0,0.35650000000000004,0.7999999999999999,0.35550000000000004,0.4505
73,20.0,3.0,0.379,0.7999999999999999,0.364,0.4525
74,20.0,4.0,0.36850000000000005,0.7999999999999999,0.36450000000000005,0.475
75,20.0,5.0,0.366,0.7999999999999999,0.362,0.46299999999999997
76,20.0,6.0,0.37350000000000005,0.7999999999999999,0.364,0.47
77,20.0,7.0,0.375,0.7999999999999999,0.35150000000000003,0.46699999999999997
78,20.0,8.0,0.36850000000000005,0.7999999999999999,0.35750000000000004,0.43899999999999995
79,20.0,9.0,0.39,0.7999999999999999,0.363,0.46399999999999997
80,30.0,0.0,0.37949999999999995,0.5,0.3395,0.47650000000000003
81,30.0,1.0,0.361,0.5,0.3355,0.47650000000000003
82,30.0,2.0,0.37050000000000005,0.5,0.3355,0.47050000000000003
83,30.0,3.0,0.388,0.5,0.3315,0.4655
84,30.0,4.0,0.381,0.5,0.33599999999999997,0.45699999999999996
85,30.0,5.0,0.374,0.5,0.345,0.47450000000000003
86,30.0,6.0,0.37649999999999995,0.5,0.33899999999999997,0.45299999999999996
87,30.0,7.0,0.38949999999999996,0.5,0.33399999999999996,0.46950000000000003
88,30.0,8.0,0.38249999999999995,0.5,0.34650000000000003,0.47250000000000003
89,30.0,9.0,0.36950000000000005,0.5,0.3405,0.4565
90,40.0,0.0,0.365,0.6,0.3315,0.45799999999999996
91,40.0,1.0,0.37350000000000005,0.6,0.3365,0.47350000000000003
92,40.0,2.0,0.38449999999999995,0.6,0.3245,0.4685
93,40.0,3.0,0.367,0.6,0.33299999999999996,0.479
94,40.0,4.0,0.37649999999999995,0.6,0.354,0.4565
95,40.0,5.0,0.37749999999999995,0.6,0.33599999999999997,0.47850000000000004
96,40.0,6.0,0.37849999999999995,0.6,0.3285,0.47050000000000003
97,40.0,7.0,0.36350000000000005,0.6,0.33899999999999997,0.47650000000000003
98,40.0,8.0,0.372,0.6,0.33499999999999996,0.46199999999999997
99,40.0,9.0,0.35850000000000004,0.6,0.33199999999999996,0.474
