,m,r,1,alpha,3
35,3.0,5.0,0.33199999999999996,0.9999999999999999,0.33199999999999996
36,3.0,6.0,0.3255,0.9999999999999999,0.349
37,3.0,7.0,0.32799999999999996,0.9999999999999999,0.33999999999999997
38,3.0,8.0,0.33899999999999997,0.9999999999999999,0.3275
39,3.0,9.0,0.3395,0.9999999999999999,0.34950000000000003
40,4.0,0.0,0.356,0.9999999999999999,0.3315
41,4.0,1.0,0.365,0.9999999999999999,0.3245
42,4.0,2.0,0.37050000000000005,0.9999999999999999,0.35150000000000003
43,4.0,3.0,0.34950000000000003,0.9999999999999999,0.3315
44,4.0,4.0,0.359,0.9999999999999999,0.34850000000000003
45,4.0,5.0,0.36150000000000004,0.9999999999999999,0.33899999999999997
46,4.0,6.0,0.348,0.9999999999999999,0.34099999999999997
47,4.0,7.0,0.349,0.9999999999999999,0.34099999999999997
48,4.0,8.0,0.356,0.9999999999999999,0.35
49,4.0,9.0,0.364,0.9999999999999999,0.32499999999999996
50,5.0,0.0,0.34750000000000003,0.5,0.34199999999999997
51,5.0,1.0,0.34850000000000003,0.5,0.3285
52,5.0,2.0,0.358,0.5,0.3285
53,5.0,3.0,0.351,0.5,0.33399999999999996
54,5.0,4.0,0.34850000000000003,0.5,0.3385
55,5.0,5.0,0.357,0.5,0.32299999999999995
56,5.0,6.0,0.3395,0.5,0.3385
57,5.0,7.0,0.36,0.5,0.31499999999999995
58,5.0,8.0,0.346,0.5,0.3215
59,5.0,9.0,0.36050000000000004,0.5,0.3255
60,10.0,0.0,0.35850000000000004,0.9999999999999999,0.3205
61,10.0,1.0,0.34099999999999997,0.9999999999999999,0.349
62,10.0,2.0,0.365,0.9999999999999999,0.32599999999999996
63,10.0,3.0,0.35350000000000004,0.9999999999999999,0.3435
64,10.0,4.0,0.36050000000000004,0.9999999999999999,0.33199999999999996
65,10.0,5.0,0.35150000000000003,0.9999999999999999,0.33099999999999996
66,10.0,6.0,0.35650000000000004,0.9999999999999999,0.345
67,10.0,7.0,0.35550000000000004,0.9999999999999999,0.35250000000000004
68,10.0,8.0,0.37749999999999995,0.9999999999999999,0.347
69,10.0,9.0,0.369,0.9999999999999999,0.33699999999999997
70,20.0,0.0,0.37350000000000005,0.5,0.356
71,20.0,1.0,0.37849999999999995,0.5,0.372
72,20.0,2.0,0.35650000000000004,0.5,0.35550000000000004
73,20.0,3.0,0.379,0.5,0.364
74,20.0,4.0,0.36850000000000005,0.5,0.36450000000000005
75,20.0,5.0,0.366,0.5,0.362
76,20.0,6.0,0.37350000000000005,0.5,0.364
77,20.0,7.0,0.375,0.5,0.35150000000000003
78,20.0,8.0,0.36850000000000005,0.5,0.35750000000000004
79,20.0,9.0,0.39,0.5,0.363
80,30.0,0.0,0.37949999999999995,0.9999999999999999,0.3395
81,30.0,1.0,0.361,0.9999999999999999,0.3355
82,30.0,2.0,0.37050000000000005,0.9999999999999999,0.3355
83,30.0,3.0,0.388,0.9999999999999999,0.3315
84,30.0,4.0,0.381,0.9999999999999999,0.33599999999999997
85,30.0,5.0,0.374,0.9999999999999999,0.345
86,30.0,6.0,0.37649999999999995,0.9999999999999999,0.33899999999999997
87,30.0,7.0,0.38949999999999996,0.9999999999999999,0.33399999999999996
88,30.0,8.0,0.38249999999999995,0.9999999999999999,0.34650000000000003
89,30.0,9.0,0.36950000000000005,0.9999999999999999,0.3405
90,40.0,0.0,0.365,0.9999999999999999,0.3315
91,40.0,1.0,0.37350000000000005,0.9999999999999999,0.3365
92,40.0,2.0,0.38449999999999995,0.9999999999999999,0.3245
93,40.0,3.0,0.367,0.9999999999999999,0.33299999999999996
94,40.0,4.0,0.37649999999999995,0.9999999999999999,0.354
95,40.0,5.0,0.37749999999999995,0.9999999999999999,0.33599999999999997
96,40.0,6.0,0.37849999999999995,0.9999999999999999,0.3285
97,40.0,7.0,0.36350000000000005,0.9999999999999999,0.33899999999999997
98,40.0,8.0,0.372,0.9999999999999999,0.33499999999999996
99,40.0,9.0,0.35850000000000004,0.9999999999999999,0.33199999999999996
