,m,r,2,alpha,3,4
71,20.0,1.0,0.2955,0.6,0.24950000000000006,0.33899999999999997
72,20.0,2.0,0.2895,0.6,0.25449999999999995,0.34199999999999997
73,20.0,3.0,0.28900000000000003,0.6,0.237,0.3405
74,20.0,4.0,0.2855,0.6,0.25649999999999995,0.3245
75,20.0,5.0,0.30100000000000005,0.6,0.25949999999999995,0.346
76,20.0,6.0,0.29600000000000004,0.6,0.23150000000000004,0.367
77,20.0,7.0,0.29100000000000004,0.6,0.245,0.368
78,20.0,8.0,0.28300000000000003,0.6,0.262,0.33499999999999996
79,20.0,9.0,0.29500000000000004,0.6,0.24450000000000005,0.33599999999999997
80,30.0,0.0,0.30300000000000005,0.6,0.261,0.34750000000000003
81,30.0,1.0,0.31699999999999995,0.6,0.26549999999999996,0.375
82,30.0,2.0,0.3175,0.6,0.265,0.348
83,30.0,3.0,0.3175,0.6,0.26449999999999996,0.37
84,30.0,4.0,0.32699999999999996,0.6,0.273,0.352
85,30.0,5.0,0.3045,0.6,0.2845,0.363
86,30.0,6.0,0.3095,0.6,0.27449999999999997,0.36650000000000005
87,30.0,7.0,0.3205,0.6,0.265,0.352
88,30.0,8.0,0.3105,0.6,0.25,0.36750000000000005
89,30.0,9.0,0.3105,0.6,0.259,0.376
90,40.0,0.0,0.31399999999999995,0.5,0.2855,0.38949999999999996
91,40.0,1.0,0.3095,0.5,0.27349999999999997,0.37749999999999995
92,40.0,2.0,0.2935,0.5,0.27049999999999996,0.40549999999999997
93,40.0,3.0,0.3065,0.5,0.25849999999999995,0.397
94,40.0,4.0,0.3115,0.5,0.265,0.378
95,40.0,5.0,0.30500000000000005,0.5,0.25949999999999995,0.38249999999999995
96,40.0,6.0,0.30800000000000005,0.5,0.27049999999999996,0.39049999999999996
97,40.0,7.0,0.3025,0.5,0.27549999999999997,0.397
98,40.0,8.0,0.30700000000000005,0.5,0.28700000000000003,0.39749999999999996
99,40.0,9.0,0.3185,0.5,0.278,0.39049999999999996
